"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1971",223.592,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1972",239.1784,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1973",264.0303,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1974",322.3286,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1975",401.8512,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1976",430.061,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1977",472.8991,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1978",510.7161,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1979",554.7626,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1980",615.7256,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1981",697.3706,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1982",731.9027,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1983",773.4711,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1984",817.2866,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1985",881.2391,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1986",941.1635,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1987",981.6215,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1988",1039.8854,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1989",1091.3294,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1990",1154.0445,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1991",1229.3906,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1992",1307.222,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1993",1381.1135,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1994",1470.8096,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1995",1554.7982,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1996",1645.0156,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1997",1730.7444,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1998",1858.2922,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1999",1986.4928,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2156.808,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2271.4553,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2426.4793,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2546.2803,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2745.6316,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2842.1321,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",3023.0978,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3196.226,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3310.1708,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3564.4049,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3607.3407,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3794.0874,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3807.6819,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4176.853,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4206.8516,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4420.4364,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1970",186.3145,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1971",201.9619,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1972",222.2858,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1973",249.2017,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1974",295.0659,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1975",412.0627,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1976",471.7179,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1977",521.641,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1978",579.8399,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1979",660.0909,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1980",742.5189,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1981",693.6662,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1982",747.8722,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1983",779.4923,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1984",814.0641,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1985",879.5659,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1986",933.7634,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1987",1015.9254,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1988",1083.2472,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1989",1189.9067,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1990",1507.933,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","1991",1608.9806,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1992",1724.7343,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1993",1874.6122,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1994",2041.3374,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1995",2120.4786,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1996",2188.0253,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1997",2298.8535,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1998",2452.2438,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1999",2587.061,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2726.4305,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2772.9361,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",2942.5631,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3085.9336,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3260.8522,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3324.0795,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3567.6495,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3718.739,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2008",3964.8495,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2009",4119.7452,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4236.3164,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4362.3426,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4646.4365,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4806.3934,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4895.9992,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",5015.6372,"E"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1970",151.4503,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1971",168.5058,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1972",191.5558,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1973",228.2962,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1974",262.2699,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1975",352.0285,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1976",406.3051,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1977",469.1313,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1978",531.6262,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1979",586.8149,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1980",645.0063,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1981",750.4773,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1982",829.7761,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1983",886.4823,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1984",919.2787,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1985",971.0915,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1986",1033.5016,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1987",1099.8816,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1988",1188.2074,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1989",1262.5005,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1990",1354.4443,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1991",1481.8642,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1992",1569.6355,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1993",1611.0269,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1994",1648.9681,"D"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1995",1710.4518,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1996",1804.5439,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1997",1849.8923,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1998",1920.7638,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1999",2047.9187,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2245.8634,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2001",2366.5965,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2002",2542.4562,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2003",2822.6807,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2004",2913.2791,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2005",2985.8089,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2006",3136.9155,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2007",3286.2254,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2008",3542.3542,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2009",3804.7643,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2010",3901.9126,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2011",4132.3109,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2012",4286.4123,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2013",4485.4804,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4522.045,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4611.2518,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","1970",287.4771,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1971",324.0512,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1972",347.9395,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1973",368.6198,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1974",403.0845,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1975",474.4168,"B"
"CAN","HEALTHEXP","TOT","USD_CAP","A","1976",522.4715,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1977",565.5264,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1978",620.3476,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1979",678.4152,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1980",766.2398,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1981",882.5133,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1982",993.885,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1983",1073.7424,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1984",1149.5639,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1985",1232.7336,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1986",1312.9797,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1987",1372.9816,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1988",1464.7584,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1989",1570.801,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1990",1691.9502,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1991",1828.6897,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1992",1916.4154,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1993",1966.955,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1994",1997.0656,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1995",2001.2318,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1996",2001.8672,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1997",2097.9041,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1998",2245.9346,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1999",2318.9571,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2000",2422.0817,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2001",2609.2285,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2002",2742.4513,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2003",2913.6997,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2004",3076.0005,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2005",3282.4541,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2006",3505.0061,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2007",3675.4766,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2008",3822.6386,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2009",4108.7578,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4242.3395,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4263.4169,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4319.9434,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4502.7427,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4491.7648,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4608.4522,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","1990",476.9631,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1991",452.5691,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1992",474.7148,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1993",650.6677,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1994",704.2931,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1995",795.1116,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","1996",827.8918,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1997",841.0002,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1998",842.7366,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1999",893.9575,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2000",933.6127,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2001",1041.4699,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2002",1138.5076,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2003",1289.5129,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2004",1342.0659,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2005",1425.1388,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2006",1514.1975,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2007",1608.5877,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2008",1727.9885,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2009",1974.0369,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2010",1879.5815,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2011",2001.2635,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2012",2028.2657,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2013",2330.4702,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2014",2386.3385,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2015",2463.6704,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1971",364.5805,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1972",397.7483,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1973",421.208,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1974",494.7508,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1975",547.0066,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1976",602.9201,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1977",635.8864,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1978",703.1093,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1979",797.9974,"D"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1980",861.222,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1981",955.3799,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1982",1059.2843,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1983",1103.22,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1984",1127.0169,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1985",1205.5467,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1986",1249.5682,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1987",1335.6857,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1988",1405.2498,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1989",1445.2483,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1990",1510.6198,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1991",1559.0867,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1992",1623.3337,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1993",1724.5152,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1994",1802.2229,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1995",1814.5633,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1996",1916.8516,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1997",1990.2833,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1998",2009.4111,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1999",2297.6172,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2000",2395.5167,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2001",2555.382,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2002",2749.7927,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2003",2784.0652,"B"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2004",2986.9486,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2005",3096.9831,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2006",3406.8102,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2007",3605.2153,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2008",3892.7375,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2009",4247.8819,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2010",4370.3331,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2011",4430.6885,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2012",4544.8568,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2013",4708.1321,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2014",4857.0285,"B"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2015",4942.8001,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","1970",166.9996,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1971",190.1923,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1972",216.3275,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1973",235.8708,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1974",260.8435,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1975",315.7781,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1976",353.2043,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1977",387.709,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1978",421.6848,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1979",476.0903,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1980",538.641,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1981",606.4913,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1982",670.5173,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1983",724.6794,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1984",775.8805,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1985",877.3167,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1986",930.1548,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1987",1005.4197,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1988",1061.1596,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1989",1161.1685,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1990",1297.9226,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1991",1439.3798,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1992",1449.2851,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1993",1347.9213,"B"
"FIN","HEALTHEXP","TOT","USD_CAP","A","1994",1325.3603,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1995",1418.182,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1996",1481.5893,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1997",1538.6158,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1998",1587.6046,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1999",1665.5525,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2000",1816.4327,"B"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2001",1930.9554,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2002",2100.2576,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2003",2219.4643,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2004",2432.1462,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2005",2571.3738,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2006",2768.6527,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2007",2941.9571,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2008",3218.1337,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2009",3336.3316,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2010",3403.1108,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2011",3605.807,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2012",3758.9973,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2013",3890.7877,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2014",3870.4,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2015",3983.5431,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","1970",191.8218,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1975",362.5645,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1980",649.5386,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1985",1004.0484,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1990",1401.3391,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1991",1496.4002,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1992",1589.4552,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1993",1688.2812,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1994",1755.1099,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1995",2037.6149,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","1996",2097.941,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1997",2162.0783,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1998",2246.3048,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1999",2336.1787,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2000",2484.1715,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2001",2657.6867,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2002",2852.5993,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2003",2828.4727,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2004",2946.9832,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2005",3100.9237,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2006",3253.9671,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2007",3407.1091,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2008",3562.5456,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2009",3774.2044,
